Ano,Fase,Questão,Link
2008,Fase 1,Ogros,https://olimpiada.ic.unicamp.br/pratique/p2/2008/f1/ogros/
2008,Fase 1,Telefone,https://olimpiada.ic.unicamp.br/pratique/p2/2008/f1/telefone/
2007,Fase 2,Labirinto,https://olimpiada.ic.unicamp.br/pratique/p2/2007/f2/lab/
2007,Fase 2,Pizza,https://olimpiada.ic.unicamp.br/pratique/p2/2007/f2/pizza/
2007,Fase 2,Telemarketing,https://olimpiada.ic.unicamp.br/pratique/p2/2007/f2/tele/
2007,Fase 1,Chocolate,https://olimpiada.ic.unicamp.br/pratique/p2/2007/f1/choc/
2007,Fase 1,Móbile,https://olimpiada.ic.unicamp.br/pratique/p2/2007/f1/mobile/
2007,Fase 1,Pastas,https://olimpiada.ic.unicamp.br/pratique/p2/2007/f1/pastas/
2007,Fase 1,Repositórios,https://olimpiada.ic.unicamp.br/pratique/p2/2007/f1/repos/
2007,Fase 1,Sacoleiro,https://olimpiada.ic.unicamp.br/pratique/p2/2007/f1/saco/
2006,Fase 2,Lobo Mau,https://olimpiada.ic.unicamp.br/pratique/p2/2006/f2/lobo/
2006,Fase 2,Penalidade mínima,https://olimpiada.ic.unicamp.br/pratique/p2/2006/f2/penalidade/
2006,Fase 2,Subsequências,https://olimpiada.ic.unicamp.br/pratique/p2/2006/f2/subsequencias/
2006,Fase 1,Colheita de Caju,https://olimpiada.ic.unicamp.br/pratique/p2/2006/f1/caju/
2006,Fase 1,Escada perfeita,https://olimpiada.ic.unicamp.br/pratique/p2/2006/f1/escada/
2006,Fase 1,Jogo de Cartas,https://olimpiada.ic.unicamp.br/pratique/p2/2006/f1/cartas/
2006,Fase 1,Museu,https://olimpiada.ic.unicamp.br/pratique/p2/2006/f1/museu/
2006,Fase 1,Truco,https://olimpiada.ic.unicamp.br/pratique/p2/2006/f1/truco/
